village,plot_number,num_local_maxima,peak_gap,entropy,curvature,path_length,score_variance,cause
village_Vadnerbhairav,1546,360,0.00703031201499521,7.639849903100229,2.1297563145815315,4,0.0005453290209979167,Poor Image Evidence (weak/missing edges)
village_Malatavadi,91/A,334,0.019508012522861495,7.63621169021479,2.7024871130042296,4,0.0042395776709081645,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,1931,350,0.007046120303070502,7.64026802214204,2.150224681294633,4,0.0015462546565425494,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,221,349,0.0015331674333366463,7.64178295297779,2.112911192157508,4,0.0005000049367272998,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2,361,0.030151464641715475,7.619357886073784,2.402393235917207,4,0.008971471618706239,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,216,352,0.0037822854399252592,7.641922239063938,2.0234327029629804,4,0.0006110455634229706,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,1882,355,0.012013928757109993,7.639477014510448,2.0669787304069858,4,0.0010458164060801506,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,1134,357,0.007026772199567766,7.61844451579165,2.194611083058341,4,0.004885044681103256,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,816,351,0.0129049490354331,7.63140937279356,2.035341374064675,4,0.002526663567555665,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,1232,381,0.0018479283608164865,7.606038900148851,2.1363548589184784,4,0.011262387004351407,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,790,348,0.012827093699632752,7.638633717710496,2.1276154429226533,4,0.002056198116871911,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,337,338,0.013123271119358293,7.638656112241353,2.3423474216150524,4,0.002858606132279131,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,261,357,0.0028804168285017084,7.641240870088293,1.9077118585761557,4,0.0010075160923543576,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,2059/3,339,0.009485295340640465,7.642480679491998,2.2746162466221955,4,0.0008090580471767136,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,1863,343,0.0009383364708257513,7.640788576422544,1.9405573339634523,4,0.0015679048934981086,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,372,350,0.012415035173403144,7.640410169001654,2.4972429553579882,4,0.00210813732220104,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,448,349,0.000738869829890576,7.644008940487398,2.159522859932272,4,0.00018844191925257263,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2023,350,0.005308630530746483,7.635237693460684,1.775188532830751,4,0.0025819207099368846,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2104,345,0.007273879934936334,7.638589957685842,2.3797038277220723,4,0.0013090113186453227,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,104,356,0.005938962130832004,7.6404155614163995,2.4692184693405412,4,0.0015233451971290184,Poor Optimization (stuck on boundary)
village_Malatavadi,189,338,0.02529231656497566,7.643445989705176,3.061062193210849,4,0.0007178769880394426,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,592,364,0.008171342050428299,7.63303560378376,1.9047968996636022,4,0.003207546437239178,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2103,349,0.005339305970213537,7.639896356302484,2.356608707128473,4,0.0008690862069146534,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,356,362,0.004559383869944478,7.636951798353902,2.075338714180146,4,0.0017607706967055358,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,547,343,0.003956114533571808,7.6378464487134154,2.1130608410901597,4,0.0003525398372225384,Poor Image Evidence (weak/missing edges)
village_Vadnerbhairav,349,352,0.00018794054266646487,7.635449259277905,1.8667621681989266,4,0.002692991494699581,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2546,357,0.005710792078908511,7.634563284459631,2.027843741270671,4,0.001393725154864848,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,659,338,0.012714353155267255,7.6402590858837325,2.3268039762187076,4,0.0023657064391167126,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,359,346,0.01416761925828669,7.63402292589188,1.9753712326814403,4,0.0041389569768578655,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,340,343,0.021837681655772045,7.636771634108733,2.3463960360530782,4,0.0024801309842100087,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,905/1/B,363,0.0036234750470229282,7.629349643394436,1.7797077431124277,4,0.003718663788860712,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,1980,351,0.009475585314828172,7.63226265256655,1.995866671802412,4,0.006445963602140006,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,220,357,0.005458000096214166,7.641407948496754,1.9130176833088994,4,0.0005807695561068735,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,537,357,0.0007285875712925716,7.640470648980104,1.8211393776489093,4,0.0010154640080766665,Poor Scoring Function (ambiguous multiple peaks)
